"x","y","group","distance","dif_x","dif_y","p_x","p_y"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
634,445,"blue","11.4017542509914","34.0253164556962","44.5871559633027","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
628,445,"blue","9.05538513813742","4.86075949367089","44.5871559633027","627","436"
628,445,"blue","9.05538513813742","4.86075949367089","44.5871559633027","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
632,416,"blue","20.6155281280883","24.3037974683544","-99.0825688073394","627","436"
632,416,"blue","20.6155281280883","24.3037974683544","-99.0825688073394","627","436"
632,416,"blue","20.6155281280883","24.3037974683544","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
628,445,"blue","9.05538513813742","4.86075949367089","44.5871559633027","627","436"
628,445,"blue","9.05538513813742","4.86075949367089","44.5871559633027","627","436"
628,445,"blue","9.05538513813742","4.86075949367089","44.5871559633027","627","436"
610,430,"blue","18.0277563773199","-82.6329113924051","-29.7247706422018","627","436"
610,430,"blue","18.0277563773199","-82.6329113924051","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
610,423,"blue","21.4009345590327","-82.6329113924051","-64.4036697247706","627","436"
610,423,"blue","21.4009345590327","-82.6329113924051","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
629,452,"blue","16.1245154965971","9.72151898734177","79.2660550458716","627","436"
626,409,"blue","27.0185121722126","-4.86075949367089","-133.761467889908","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
627,430,"blue","6","0","-29.7247706422018","627","436"
632,416,"blue","20.6155281280883","24.3037974683544","-99.0825688073394","627","436"
610,423,"blue","21.4009345590327","-82.6329113924051","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,416,"blue","20","0","-99.0825688073394","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
633,430,"blue","8.48528137423857","29.1645569620253","-29.7247706422018","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
627,423,"blue","13","0","-64.4036697247706","627","436"
