"x","y","group","distance","dif_x","dif_y","p_x","p_y"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
629,452,"magenta","32.5576411921994","28.3743842364532","154.285714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
622,430,"magenta","10.0498756211209","-4.72906403940887","48.2142857142857","623","420"
629,452,"magenta","32.5576411921994","28.3743842364532","154.285714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
629,452,"magenta","32.5576411921994","28.3743842364532","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
613,472,"magenta","52.9528091794949","-47.2906403940887","250.714285714286","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
645,452,"magenta","38.8329756778952","104.039408866995","154.285714285714","623","420"
645,452,"magenta","38.8329756778952","104.039408866995","154.285714285714","623","420"
647,472,"magenta","57.2712842531054","113.497536945813","250.714285714286","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
630,472,"magenta","52.4690384893796","33.1034482758621","250.714285714286","623","420"
630,472,"magenta","52.4690384893796","33.1034482758621","250.714285714286","623","420"
630,472,"magenta","52.4690384893796","33.1034482758621","250.714285714286","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
623,452,"magenta","32","0","154.285714285714","623","420"
624,472,"magenta","52.0096144957834","4.72906403940887","250.714285714286","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
628,445,"magenta","25.4950975679639","23.6453201970443","120.535714285714","623","420"
630,472,"magenta","52.4690384893796","33.1034482758621","250.714285714286","623","420"
641,472,"magenta","55.0272659687904","85.1231527093596","250.714285714286","623","420"
645,452,"magenta","38.8329756778952","104.039408866995","154.285714285714","623","420"
640,452,"magenta","36.2353418639869","80.3940886699507","154.285714285714","623","420"
651,452,"magenta","42.5205832509386","132.413793103448","154.285714285714","623","420"
651,452,"magenta","42.5205832509386","132.413793103448","154.285714285714","623","420"
651,445,"magenta","37.5366487582469","132.413793103448","120.535714285714","623","420"
651,445,"magenta","37.5366487582469","132.413793103448","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
628,445,"magenta","25.4950975679639","23.6453201970443","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
623,445,"magenta","25","0","120.535714285714","623","420"
628,445,"magenta","25.4950975679639","23.6453201970443","120.535714285714","623","420"
628,445,"magenta","25.4950975679639","23.6453201970443","120.535714285714","623","420"
651,445,"magenta","37.5366487582469","132.413793103448","120.535714285714","623","420"
651,445,"magenta","37.5366487582469","132.413793103448","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
645,445,"magenta","33.3016516106934","104.039408866995","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
633,423,"magenta","10.4403065089106","47.2906403940887","14.4642857142857","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
615,423,"magenta","8.54400374531753","-37.8325123152709","14.4642857142857","623","420"
633,423,"magenta","10.4403065089106","47.2906403940887","14.4642857142857","623","420"
645,445,"magenta","33.3016516106934","104.039408866995","120.535714285714","623","420"
645,445,"magenta","33.3016516106934","104.039408866995","120.535714285714","623","420"
615,423,"magenta","8.54400374531753","-37.8325123152709","14.4642857142857","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
634,445,"magenta","27.3130005674953","52.0197044334975","120.535714285714","623","420"
634,445,"magenta","27.3130005674953","52.0197044334975","120.535714285714","623","420"
634,445,"magenta","27.3130005674953","52.0197044334975","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
615,423,"magenta","8.54400374531753","-37.8325123152709","14.4642857142857","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
634,445,"magenta","27.3130005674953","52.0197044334975","120.535714285714","623","420"
615,423,"magenta","8.54400374531753","-37.8325123152709","14.4642857142857","623","420"
640,445,"magenta","30.2324329156619","80.3940886699507","120.535714285714","623","420"
617,445,"magenta","25.7099202643649","-28.3743842364532","120.535714285714","623","420"
