"x","y","group","distance","dif_x","dif_y","p_x","p_y"
609,416,"blue","10.816653826392",22.0689655172414,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
610,430,"blue","24.0416305603426",25.7471264367816,84.4897959183673,"603","407"
592,416,"blue","14.2126704035519",-40.4597701149425,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
605,437,"blue","30.0665927567458",7.35632183908046,110.204081632653,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
610,430,"blue","24.0416305603426",25.7471264367816,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
609,416,"blue","10.816653826392",22.0689655172414,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
621,416,"blue","20.1246117974981",66.2068965517241,33.0612244897959,"603","407"
620,402,"blue","17.7200451466693",62.5287356321839,-18.3673469387755,"603","407"
621,416,"blue","20.1246117974981",66.2068965517241,33.0612244897959,"603","407"
621,416,"blue","20.1246117974981",66.2068965517241,33.0612244897959,"603","407"
615,416,"blue","15",44.1379310344828,33.0612244897959,"603","407"
619,395,"blue","20",58.8505747126437,-44.0816326530612,"603","407"
615,416,"blue","15",44.1379310344828,33.0612244897959,"603","407"
615,416,"blue","15",44.1379310344828,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
621,416,"blue","20.1246117974981",66.2068965517241,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
609,416,"blue","10.816653826392",22.0689655172414,33.0612244897959,"603","407"
609,416,"blue","10.816653826392",22.0689655172414,33.0612244897959,"603","407"
599,430,"blue","23.3452350598575",-14.7126436781609,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
604,430,"blue","23.0217288664427",3.67816091954023,84.4897959183673,"603","407"
593,430,"blue","25.0798724079689",-36.7816091954023,84.4897959183673,"603","407"
592,416,"blue","14.2126704035519",-40.4597701149425,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
592,416,"blue","14.2126704035519",-40.4597701149425,33.0612244897959,"603","407"
598,416,"blue","10.295630140987",-18.3908045977011,33.0612244897959,"603","407"
603,416,"blue","9",0,33.0612244897959,"603","407"
