"grupo","x","y"
"purple",31.6816123257207,29.537183242067
"orange",45.1288500418517,24.3720669073866
"purple",31.9601400167407,36.316398431335
"orange",44.4325308143018,27.7616745020206
"orange",47.7748631065412,28.8915437002319
"purple",37.2521661461197,29.537183242067
"purple",31.6816123257207,30.6670524402784
"purple",27.7822246514414,31.7969216384897
"orange",46.2429608059315,31.1512820966546
"orange",47.0785438789913,31.1512820966546
"orange",47.9141269520512,31.1512820966546
"orange",50.4208761712307,31.1512820966546
"purple",36.5558469185698,31.7969216384897
"purple",35.0239446179601,32.926790836701
"purple",34.1883615449003,31.7969216384897
"purple",31.8208761712307,31.7969216384897
"purple",30.288973870621,32.926790836701
"purple",29.4533907975612,34.0566600349123
"orange",46.1036969604215,27.7616745020206
"orange",47.7748631065412,28.8915437002319
"purple",37.3914299916297,32.926790836701
"purple",34.1883615449003,32.926790836701
"purple",31.8208761712307,31.7969216384897
"orange",43.8754754322619,31.1512820966546
"orange",46.2429608059315,31.1512820966546
"orange",46.3822246514414,32.281151294866
"orange",47.9141269520512,31.1512820966546
"purple",34.1883615449003,32.926790836701
"purple",31.9601400167407,34.0566600349123
"purple",31.8208761712307,32.926790836701
"purple",30.9852930981709,31.7969216384897
"orange",44.7110585053218,32.281151294866
"orange",46.3822246514414,33.4110204930773
"orange",48.0533907975611,33.4110204930773
"orange",50.4208761712307,32.281151294866
"purple",37.5306938371396,34.0566600349123
"purple",30.288973870621,32.926790836701
"purple",27.7822246514414,31.7969216384897
"orange",47.9141269520512,31.1512820966546
"orange",50.4208761712307,31.1512820966546
"purple",35.0239446179601,32.926790836701
"purple",31.8208761712307,32.926790836701
"purple",29.4533907975612,34.0566600349123
"orange",43.8754754322619,32.281151294866
"orange",45.5466415783816,32.281151294866
"orange",47.9141269520512,32.281151294866
"orange",48.0533907975611,33.4110204930773
"purple",37.5306938371396,34.0566600349123
"purple",34.3276253904102,34.0566600349123
"purple",31.1245569436808,35.1865292331237
"purple",29.4533907975612,34.0566600349123
"orange",43.8754754322619,32.281151294866
"orange",44.7110585053218,33.4110204930773
"orange",48.0533907975611,33.4110204930773
"orange",50.5601400167407,33.4110204930773
"purple",30.288973870621,32.926790836701
"purple",29.3141269520512,31.7969216384897
"orange",44.7110585053218,33.4110204930773
"orange",48.0533907975611,33.4110204930773
"orange",50.5601400167407,34.5408896912887
"orange",50.6994038622506,35.6707588895
"purple",31.8208761712307,32.926790836701
"purple",29.4533907975612,34.0566600349123
"orange",43.8754754322619,32.281151294866
"orange",46.3822246514414,32.281151294866
"orange",47.9141269520512,32.281151294866
"orange",48.0533907975611,33.4110204930773
"purple",30.9852930981709,31.7969216384897
"orange",43.8754754322619,32.281151294866
"orange",47.9141269520512,31.1512820966546
"purple",22.4901985220625,22.9193779382577
"orange",45.4073777328716,31.1512820966546
"orange",45.5466415783816,32.281151294866
"orange",47.9141269520512,31.1512820966546
"orange",50.4208761712307,32.281151294866
"orange",50.5601400167407,33.4110204930773
"purple",37.3914299916297,30.6670524402784
"purple",30.9852930981709,31.7969216384897
"orange",43.8754754322619,32.281151294866
"orange",44.7110585053218,32.281151294866
"orange",47.9141269520512,32.281151294866
"orange",48.0533907975611,33.4110204930773
"orange",50.4208761712307,32.281151294866
"purple",32.6564592442905,47.2922706425309
"orange",43.8754754322619,32.281151294866
"orange",47.9141269520512,31.1512820966546
"orange",50.4208761712307,32.281151294866
"purple",34.1883615449003,32.926790836701
"purple",31.8208761712307,31.7969216384897
"purple",30.9852930981709,32.926790836701
"purple",29.4533907975612,34.0566600349123
"orange",47.9141269520512,31.1512820966546
"orange",50.4208761712307,32.281151294866
"purple",26.2503223508317,31.7969216384897
"orange",44.5717946598118,31.1512820966546
"orange",46.3822246514414,32.281151294866
"orange",47.2178077245013,32.281151294866
"purple",30.9852930981709,17.1086220617423
"purple",28.6178077245013,17.1086220617423
"orange",45.6859054238916,35.6707588895
"orange",50.6994038622506,36.8006280877113
"purple",31.8208761712307,31.7969216384897
"purple",30.9852930981709,31.7969216384897
"orange",43.596947741242,27.7616745020206
"orange",44.4325308143018,27.7616745020206
"orange",46.1036969604215,28.8915437002319
"orange",47.7748631065412,28.8915437002319
"orange",50.2816123257207,28.8915437002319
"purple",32.6564592442905,34.0566600349123
"purple",31.9601400167407,34.0566600349123
"purple",30.288973870621,34.0566600349123
"purple",29.4533907975612,34.0566600349123
"orange",44.9895861963417,23.403607594634
"orange",46.6607523424614,23.403607594634
"orange",50.8386677077606,23.403607594634
"purple",32.7957230898005,35.1865292331237
"orange",45.6859054238916,34.5408896912887
"orange",50.6994038622506,35.6707588895
"purple",40.4552345928491,29.537183242067
"purple",33.3527784718404,30.6670524402784
"orange",47.7748631065412,27.7616745020206
"orange",49.4460292526609,27.7616745020206
"purple",35.1632084634701,34.0566600349123
"purple",31.9601400167407,34.0566600349123
"purple",31.1245569436808,34.0566600349123
"orange",45.5466415783816,32.281151294866
"orange",47.2178077245013,32.281151294866
