"x","y","group","distance","dif_x","dif_y","p_x","p_y"
574,409,"magenta","37.6961536499415","-139.70893970894","64.892703862661","609","395"
585,402,"magenta","25","-95.8004158004158","32.4463519313305","609","395"
586,409,"magenta","26.9258240356725","-91.8087318087318","64.892703862661","609","395"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
585,402,"magenta","25","-95.8004158004158","32.4463519313305","609","395"
579,402,"magenta","30.8058436014987","-119.75051975052","32.4463519313305","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
581,423,"magenta","39.5979797464467","-111.767151767152","129.785407725322","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
586,409,"magenta","26.9258240356725","-91.8087318087318","64.892703862661","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
557,416,"blue","40.8044115262063","47.9002079002079","-180.772532188841","545","455"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
579,402,"magenta","30.8058436014987","-119.75051975052","32.4463519313305","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
579,402,"magenta","30.8058436014987","-119.75051975052","32.4463519313305","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
586,416,"magenta","31.1448230047949","-91.8087318087318","97.3390557939914","609","395"
603,409,"magenta","15.2315462117278","-23.950103950104","64.892703862661","609","395"
522,402,"pink","48.0832611206852","-135.717255717256","157.596566523605","556","368"
604,423,"magenta","28.4429253066558","-19.95841995842","129.785407725322","609","395"
575,416,"magenta","39.9624824053762","-135.717255717256","97.3390557939914","609","395"
575,416,"magenta","39.9624824053762","-135.717255717256","97.3390557939914","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
581,423,"magenta","39.5979797464467","-111.767151767152","129.785407725322","609","395"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
586,409,"magenta","26.9258240356725","-91.8087318087318","64.892703862661","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
581,423,"magenta","39.5979797464467","-111.767151767152","129.785407725322","609","395"
580,416,"magenta","35.8050275799363","-115.758835758836","97.3390557939914","609","395"
564,423,"blue","37.2155881318568","75.8419958419958","-148.326180257511","545","455"
581,423,"magenta","39.5979797464467","-111.767151767152","129.785407725322","609","395"
575,416,"magenta","39.9624824053762","-135.717255717256","97.3390557939914","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
579,402,"magenta","30.8058436014987","-119.75051975052","32.4463519313305","609","395"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
587,430,"magenta","41.3400532171888","-87.8170478170478","162.231759656652","609","395"
581,430,"blue","43.8292140016223","143.700623700624","-115.87982832618","545","455"
585,402,"magenta","25","-95.8004158004158","32.4463519313305","609","395"
579,402,"magenta","30.8058436014987","-119.75051975052","32.4463519313305","609","395"
