"x","y","group","distance","dif_x","dif_y","p_x","p_y"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
581,423,"purple","5.09901951359278","-23.4146341463415","4.75770925110132","586","422"
597,409,"purple","17.0293863659264","51.5121951219512","-61.8502202643172","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
597,409,"purple","17.0293863659264","51.5121951219512","-61.8502202643172","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
581,423,"purple","5.09901951359278","-23.4146341463415","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,416,"purple","13.4164078649987","56.1951219512195","-28.5462555066079","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
581,423,"purple","5.09901951359278","-23.4146341463415","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
597,409,"purple","17.0293863659264","51.5121951219512","-61.8502202643172","586","422"
569,423,"purple","17.0293863659264","-79.609756097561","4.75770925110132","586","422"
569,423,"purple","17.0293863659264","-79.609756097561","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
654,409,"orange","57.974132162543","-262.243902439024","-71.3656387665198","710","424"
666,409,"orange","46.4865571966778","-206.048780487805","-71.3656387665198","710","424"
659,395,"orange","58.6685605754905","-238.829268292683","-137.973568281938","710","424"
660,409,"orange","52.2015325445527","-234.146341463415","-71.3656387665198","710","424"
661,416,"orange","49.6487663492256","-229.463414634146","-38.0616740088106","710","424"
660,409,"orange","52.2015325445527","-234.146341463415","-71.3656387665198","710","424"
660,409,"orange","52.2015325445527","-234.146341463415","-71.3656387665198","710","424"
660,409,"orange","52.2015325445527","-234.146341463415","-71.3656387665198","710","424"
656,437,"orange","55.5427763079953","-252.878048780488","61.8502202643172","710","424"
660,409,"orange","52.2015325445527","-234.146341463415","-71.3656387665198","710","424"
661,416,"orange","49.6487663492256","-229.463414634146","-38.0616740088106","710","424"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
558,430,"purple","29.1204395571221","-131.121951219512","38.0616740088106","586","422"
570,437,"purple","21.9317121994613","-74.9268292682927","71.3656387665198","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
568,402,"purple","26.9072480941474","-84.2926829268293","-95.1541850220264","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
569,423,"purple","17.0293863659264","-79.609756097561","4.75770925110132","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
598,423,"purple","12.0415945787923","56.1951219512195","4.75770925110132","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
569,423,"purple","17.0293863659264","-79.609756097561","4.75770925110132","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
570,430,"purple","17.8885438199983","-74.9268292682927","38.0616740088106","586","422"
