"x","y","group","distance","dif_x","dif_y","p_x","p_y"
934,534,"green","17","20.5622489959839","-38.525564803805","926","549"
934,534,"green","17","20.5622489959839","-38.525564803805","926","549"
934,534,"green","17","20.5622489959839","-38.525564803805","926","549"
934,535,"green","16.1245154965971","20.5622489959839","-35.9571938168847","926","549"
934,535,"green","16.1245154965971","20.5622489959839","-35.9571938168847","926","549"
941,535,"magenta","19.4164878389476","-48.8353413654618","-10.2734839476813","960","539"
945,536,"magenta","15.2970585407784","-38.5542168674699","-7.705112960761","960","539"
951,536,"magenta","9.48683298050514","-23.1325301204819","-7.705112960761","960","539"
956,537,"magenta","4.47213595499958","-10.281124497992","-5.13674197384067","960","539"
959,537,"magenta","2.23606797749979","-2.57028112449799","-5.13674197384067","960","539"
962,536,"magenta","3.60555127546399","5.14056224899598","-7.705112960761","960","539"
964,537,"magenta","4.47213595499958","10.281124497992","-5.13674197384067","960","539"
965,537,"magenta","5.3851648071345","12.85140562249","-5.13674197384067","960","539"
965,537,"magenta","5.3851648071345","12.85140562249","-5.13674197384067","960","539"
966,537,"magenta","6.32455532033676","15.421686746988","-5.13674197384067","960","539"
966,537,"magenta","6.32455532033676","15.421686746988","-5.13674197384067","960","539"
968,537,"magenta","8.24621125123532","20.5622489959839","-5.13674197384067","960","539"
969,537,"magenta","9.21954445729289","23.1325301204819","-5.13674197384067","960","539"
970,537,"magenta","10.1980390271856","25.7028112449799","-5.13674197384067","960","539"
971,538,"magenta","11.0453610171873","28.2730923694779","-2.56837098692033","960","539"
971,538,"magenta","11.0453610171873","28.2730923694779","-2.56837098692033","960","539"
972,539,"magenta","12","30.8433734939759","0","960","539"
972,540,"magenta","12.0415945787923","30.8433734939759","2.56837098692033","960","539"
973,540,"magenta","13.0384048104053","33.4136546184739","2.56837098692033","960","539"
973,541,"magenta","13.1529464379659","33.4136546184739","5.13674197384067","960","539"
974,542,"magenta","14.3178210632764","35.9839357429719","7.705112960761","960","539"
974,543,"magenta","14.560219778561","35.9839357429719","10.2734839476813","960","539"
974,544,"magenta","14.8660687473185","35.9839357429719","12.8418549346017","960","539"
974,545,"magenta","15.2315462117278","35.9839357429719","15.410225921522","960","539"
975,546,"magenta","16.5529453572468","38.5542168674699","17.9785969084423","960","539"
975,547,"magenta","17","38.5542168674699","20.5469678953627","960","539"
975,548,"magenta","17.4928556845359","38.5542168674699","23.115338882283","960","539"
975,548,"magenta","17.4928556845359","38.5542168674699","23.115338882283","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,549,"magenta","18.8679622641132","41.1244979919679","25.6837098692033","960","539"
976,548,"magenta","18.3575597506858","41.1244979919679","23.115338882283","960","539"
976,548,"magenta","18.3575597506858","41.1244979919679","23.115338882283","960","539"
976,548,"magenta","18.3575597506858","41.1244979919679","23.115338882283","960","539"
976,548,"magenta","18.3575597506858","41.1244979919679","23.115338882283","960","539"
976,548,"magenta","18.3575597506858","41.1244979919679","23.115338882283","960","539"
977,548,"magenta","19.2353840616713","43.6947791164659","23.115338882283","960","539"
977,549,"magenta","19.723082923316","43.6947791164659","25.6837098692033","960","539"
977,549,"magenta","19.723082923316","43.6947791164659","25.6837098692033","960","539"
978,550,"magenta","21.095023109729","46.2650602409639","28.2520808561237","960","539"
978,550,"magenta","21.095023109729","46.2650602409639","28.2520808561237","960","539"
978,550,"magenta","21.095023109729","46.2650602409639","28.2520808561237","960","539"
979,550,"magenta","21.9544984001001","48.8353413654618","28.2520808561237","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
980,551,"magenta","23.3238075793812","51.4056224899598","30.820451843044","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
979,550,"magenta","21.9544984001001","48.8353413654618","28.2520808561237","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
978,551,"magenta","21.6333076527839","46.2650602409639","30.820451843044","960","539"
979,551,"magenta","22.4722050542442","48.8353413654618","30.820451843044","960","539"
978,551,"magenta","21.6333076527839","46.2650602409639","30.820451843044","960","539"
978,551,"magenta","21.6333076527839","46.2650602409639","30.820451843044","960","539"
977,551,"magenta","20.8086520466848","43.6947791164659","30.820451843044","960","539"
977,551,"magenta","20.8086520466848","43.6947791164659","30.820451843044","960","539"
977,551,"magenta","20.8086520466848","43.6947791164659","30.820451843044","960","539"
977,551,"magenta","20.8086520466848","43.6947791164659","30.820451843044","960","539"
977,550,"magenta","20.2484567313166","43.6947791164659","28.2520808561237","960","539"
977,550,"magenta","20.2484567313166","43.6947791164659","28.2520808561237","960","539"
977,550,"magenta","20.2484567313166","43.6947791164659","28.2520808561237","960","539"
976,551,"magenta","20","41.1244979919679","30.820451843044","960","539"
976,551,"magenta","20","41.1244979919679","30.820451843044","960","539"
976,551,"magenta","20","41.1244979919679","30.820451843044","960","539"
976,551,"magenta","20","41.1244979919679","30.820451843044","960","539"
976,551,"magenta","20","41.1244979919679","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,551,"magenta","19.2093727122985","38.5542168674699","30.820451843044","960","539"
975,552,"magenta","19.8494332412792","38.5542168674699","33.3888228299643","960","539"
976,552,"magenta","20.6155281280883","41.1244979919679","33.3888228299643","960","539"
976,552,"magenta","20.6155281280883","41.1244979919679","33.3888228299643","960","539"
976,552,"magenta","20.6155281280883","41.1244979919679","33.3888228299643","960","539"
976,552,"magenta","20.6155281280883","41.1244979919679","33.3888228299643","960","539"
976,553,"magenta","21.2602916254693","41.1244979919679","35.9571938168847","960","539"
977,553,"magenta","22.0227155455452","43.6947791164659","35.9571938168847","960","539"
977,552,"magenta","21.4009345590327","43.6947791164659","33.3888228299643","960","539"
977,552,"magenta","21.4009345590327","43.6947791164659","33.3888228299643","960","539"
978,552,"magenta","22.2036033111745","46.2650602409639","33.3888228299643","960","539"
978,552,"magenta","22.2036033111745","46.2650602409639","33.3888228299643","960","539"
