"x","y","group","distance","dif_x","dif_y","p_x","p_y"
957,598,"magenta","8","15.4527162977867","0","949","598"
957,598,"magenta","8","15.4527162977867","0","949","598"
957,598,"magenta","8","15.4527162977867","0","949","598"
957,598,"magenta","8","15.4527162977867","0","949","598"
958,597,"magenta","9.05538513813742","17.3843058350101","-1.94244604316547","949","598"
958,597,"magenta","9.05538513813742","17.3843058350101","-1.94244604316547","949","598"
958,597,"magenta","9.05538513813742","17.3843058350101","-1.94244604316547","949","598"
960,594,"magenta","11.7046999107196","21.2474849094567","-7.76978417266187","949","598"
961,591,"magenta","13.8924439894498","23.1790744466801","-13.5971223021583","949","598"
960,592,"magenta","12.5299640861417","21.2474849094567","-11.6546762589928","949","598"
961,592,"magenta","13.4164078649987","23.1790744466801","-11.6546762589928","949","598"
960,592,"magenta","12.5299640861417","21.2474849094567","-11.6546762589928","949","598"
960,593,"magenta","12.0830459735946","21.2474849094567","-9.71223021582734","949","598"
960,592,"magenta","12.5299640861417","21.2474849094567","-11.6546762589928","949","598"
960,591,"magenta","13.0384048104053","21.2474849094567","-13.5971223021583","949","598"
960,590,"magenta","13.6014705087354","21.2474849094567","-15.5395683453237","949","598"
960,589,"magenta","14.2126704035519","21.2474849094567","-17.4820143884892","949","598"
959,589,"magenta","13.4536240470737","19.3158953722334","-17.4820143884892","949","598"
960,589,"magenta","14.2126704035519","21.2474849094567","-17.4820143884892","949","598"
960,589,"magenta","14.2126704035519","21.2474849094567","-17.4820143884892","949","598"
966,574,"magenta","29.4108823397055","32.8370221327968","-46.6187050359712","949","598"
968,499,"purple","55.0363516232681","3.86317907444668","106.834532374101","966","444"
974,513,"purple","69.462219947249","15.4527162977867","134.028776978417","966","444"
966,567,"magenta","35.3553390593274","32.8370221327968","-60.2158273381295","949","598"
962,586,"magenta","17.6918060129541","25.1106639839034","-23.3093525179856","949","598"
964,595,"magenta","15.2970585407784","28.9738430583501","-5.8273381294964","949","598"
965,599,"magenta","16.0312195418814","30.9054325955734","1.94244604316547","949","598"
964,600,"magenta","15.1327459504216","28.9738430583501","3.88489208633094","949","598"
962,600,"magenta","13.1529464379659","25.1106639839034","3.88489208633094","949","598"
963,598,"magenta","14","27.0422535211268","0","949","598"
962,598,"magenta","13","25.1106639839034","0","949","598"
961,597,"magenta","12.0415945787923","23.1790744466801","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
961,597,"magenta","12.0415945787923","23.1790744466801","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
960,597,"magenta","11.0453610171873","21.2474849094567","-1.94244604316547","949","598"
959,597,"magenta","10.0498756211209","19.3158953722334","-1.94244604316547","949","598"
945,600,"magenta","4.47213595499958","-7.72635814889336","3.88489208633094","949","598"
940,600,"magenta","9.21954445729289","-17.3843058350101","3.88489208633094","949","598"
938,601,"magenta","11.4017542509914","-21.2474849094567","5.8273381294964","949","598"
937,602,"magenta","12.6491106406735","-23.1790744466801","7.76978417266187","949","598"
936,602,"magenta","13.6014705087354","-25.1106639839034","7.76978417266187","949","598"
955,601,"magenta","6.70820393249937","11.58953722334","5.8273381294964","949","598"
963,600,"magenta","14.142135623731","27.0422535211268","3.88489208633094","949","598"
966,601,"magenta","17.2626765016321","32.8370221327968","5.8273381294964","949","598"
969,602,"magenta","20.3960780543711","38.6317907444668","7.76978417266187","949","598"
970,602,"magenta","21.3775583264319","40.5633802816901","7.76978417266187","949","598"
978,602,"magenta","29.2745623366089","56.0160965794769","7.76978417266187","949","598"
994,605,"magenta","45.5411901469428","86.9215291750503","13.5971223021583","949","598"
1001,605,"magenta","52.4690384893796","100.442655935614","13.5971223021583","949","598"
1003,606,"magenta","54.5893762558247","104.30583501006","15.5395683453237","949","598"
1005,606,"magenta","56.5685424949238","108.169014084507","15.5395683453237","949","598"
1005,606,"magenta","56.5685424949238","108.169014084507","15.5395683453237","949","598"
1006,606,"magenta","57.5586657246326","110.10060362173","15.5395683453237","949","598"
1006,606,"magenta","57.5586657246326","110.10060362173","15.5395683453237","949","598"
1007,606,"magenta","58.5491246732178","112.032193158954","15.5395683453237","949","598"
1007,606,"magenta","58.5491246732178","112.032193158954","15.5395683453237","949","598"
996,609,"magenta","48.2700735445887","90.784708249497","21.3669064748201","949","598"
971,605,"magenta","23.0867927612304","42.4949698189135","13.5971223021583","949","598"
965,603,"magenta","16.7630546142402","30.9054325955734","9.71223021582734","949","598"
963,602,"magenta","14.560219778561","27.0422535211268","7.76978417266187","949","598"
962,601,"magenta","13.3416640641263","25.1106639839034","5.8273381294964","949","598"
961,601,"magenta","12.369316876853","23.1790744466801","5.8273381294964","949","598"
962,601,"magenta","13.3416640641263","25.1106639839034","5.8273381294964","949","598"
962,602,"magenta","13.6014705087354","25.1106639839034","7.76978417266187","949","598"
962,602,"magenta","13.6014705087354","25.1106639839034","7.76978417266187","949","598"
961,601,"magenta","12.369316876853","23.1790744466801","5.8273381294964","949","598"
961,602,"magenta","12.6491106406735","23.1790744466801","7.76978417266187","949","598"
961,602,"magenta","12.6491106406735","23.1790744466801","7.76978417266187","949","598"
960,602,"magenta","11.7046999107196","21.2474849094567","7.76978417266187","949","598"
959,603,"magenta","11.1803398874989","19.3158953722334","9.71223021582734","949","598"
959,603,"magenta","11.1803398874989","19.3158953722334","9.71223021582734","949","598"
959,603,"magenta","11.1803398874989","19.3158953722334","9.71223021582734","949","598"
959,604,"magenta","11.6619037896906","19.3158953722334","11.6546762589928","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
957,603,"magenta","9.4339811320566","15.4527162977867","9.71223021582734","949","598"
958,603,"magenta","10.295630140987","17.3843058350101","9.71223021582734","949","598"
958,602,"magenta","9.8488578017961","17.3843058350101","7.76978417266187","949","598"
958,602,"magenta","9.8488578017961","17.3843058350101","7.76978417266187","949","598"
959,603,"magenta","11.1803398874989","19.3158953722334","9.71223021582734","949","598"
959,602,"magenta","10.770329614269","19.3158953722334","7.76978417266187","949","598"
960,601,"magenta","11.4017542509914","21.2474849094567","5.8273381294964","949","598"
1000,459,"purple","37.1618083521241","65.6740442655936","29.136690647482","966","444"
992,389,"purple","60.8358446970205","50.2213279678068","-106.834532374101","966","444"
973,472,"purple","28.8617393793236","13.5211267605634","54.3884892086331","966","444"
961,528,"magenta","71.0211236182588","23.1790744466801","-135.971223021583","949","598"
960,580,"magenta","21.095023109729","21.2474849094567","-34.9640287769784","949","598"
961,596,"magenta","12.1655250605964","23.1790744466801","-3.88489208633094","949","598"
961,601,"magenta","12.369316876853","23.1790744466801","5.8273381294964","949","598"
959,604,"magenta","11.6619037896906","19.3158953722334","11.6546762589928","949","598"
960,603,"magenta","12.0830459735946","21.2474849094567","9.71223021582734","949","598"
958,604,"magenta","10.816653826392","17.3843058350101","11.6546762589928","949","598"
